citperOD_0,STD_0,citperOD_2,STD_2,citperOD_4,STD_4,citperOD_8,STD_8,citperOD_16,STD_16,citperOD_32,STD_32,citperOD_64,STD_64,citperOD_128,STD_128
48.80032432,0.2684663795,48.89975469,0.3636264462,56.52173811,7.57395609,53.60824749,7.1641001,58.23627254,7.22292936,51.26327285,10.50296607,60.68487183,7.748231991,62.47211034,7.763230152
68.54531485,0.2392347497,66.19937608,6.746519282,63.92329266,6.930635849,71.23071017,0.2583469032,67.24683473,6.855338559,68.14921011,11.30790403,73.52941359,0.8009110292,77.31958782,1.412621675
65.90992224,0.5336840512,75.10326692,6.510917264,72.99269989,6.660611446,79.57559551,0.2276556679,80.52147346,0.1928124511,83.13127616,11.79602437,90.80142258,6.880376002,100.2087678,1.388333654
70.84661635,6.164529907,75.75757617,0.7100445758,82.52063081,6.540027399,91.91176475,6.476908495,96.43916772,6.451650468,95.6779949,16.19404912,111.7533732,6.772627869,118.270799,7.212454898
71.69682582,0.3470399113,79.17383818,5.973697568,87.87989631,1.413300629,106.9137548,10.9434126,122.4783871,6.28181796,129.9967498,21.09292992,140.4707691,13.35236767,156.7524103,24.13821278
78.89546324,0.2334195822,88.3507868,0.2182705014,109.6568821,6.964003577,144.1317774,18.37314659,166.7245567,18.09633889,175.2708775,39.62385414,181.7507442,12.9857285,198.8304107,31.02910467
85.55132869,0.2817108605,110.5651112,0.678297306,144.6837138,21.61785298,191.9258788,38.56453929,222.072677,26.80474975,213.0945044,55.493296,235.1664256,17.05663557,257.0003886,51.92632855
66.74757304,5.279650578,117.9516667,5.051392332,178.9709176,50.14848388,230.6477088,82.84633612,243.111832,39.17731913,238.5265728,70.34002759,261.391733,22.67225901,274.6425892,73.49917897
64.44053803,5.086947086,138.6246266,8.164047454,193.0147033,61.77931916,271.0109676,99.13544933,298.3219382,44.41004017,297.7232964,109.4459404,305.212616,31.66029206,322.1083481,74.85405247
75.73632385,0.7020304841,156.2093184,13.5640214,225.9887002,82.27788068,331.184062,113.0285951,375.6285109,82.24255758,372.2943703,115.2766755,394.9129865,42.34420944,389.9821107,81.45579469
64.44683124,0.5599698713,178.3532863,11.36754765,267.5585274,117.1136547,367.2316362,162.8371152,441.7109338,113.0535118,415.0632253,135.8090775,431.6780161,25.45229932,420.9049374,86.23873938
62.11180069,4.488578607,210.6455227,18.03557148,361.4768986,169.1621194,503.9577828,249.2578362,532.4196099,187.7223768,454.0598233,154.0333478,508.2631787,33.7313919,497.7988496,107.600444
