 ,Area,Mean,Min,Max
1,1.604,80589.217,30884,148273
2,1.558,41750.000,30913,64462
3,1.932,72319.478,31128,126647
4,2.557,61325.064,30931,106896
5,0.651,44485.426,30972,68031
6,1.323,46857.289,30974,79821
7,2.121,67183.384,30918,110544
8,1.230,36685.157,26307,48370
9,1.495,61734.728,30904,112770
10,1.339,65206.213,31064,105343
11,1.360,54726.701,30897,84561
12,1.701,61435.306,31307,114894
13,1.944,72168.754,30914,117481
14,2.444,51534.120,30934,78595
15,1.617,46575.558,30897,72812
16,1.491,47423.468,31014,66486
17,0.537,41159.016,30886,61479
18,1.327,48633.000,30880,68234
19,1.331,51602.416,30878,83839
20,1.692,52850.469,30908,89348
21,2.297,58773.523,30904,108265
22,1.793,50091.656,31014,76537
23,2.377,43141.523,30918,66065
24,0.894,44353.695,31164,79260
