 ,Area,Mean,Min,Max
1,1.974,14650.311,9709,26176
2,1.352,21233.457,15255,45023
3,1.092,18281.665,12591,29548
4,2.536,19933.974,13301,33666
5,1.507,21069.209,14152,42216
6,2.616,25992.491,13117,57073
7,1.390,17739.568,12435,28051
8,2.154,25103.772,12874,47051
9,0.869,31928.585,18135,51436
10,1.709,30043.668,16310,104012
11,1.579,22222.516,13226,42595
12,3.960,36256.692,15223,78851
13,1.881,17858.672,11588,28277
14,2.801,51001.276,22477,116644
15,1.075,19153.094,11034,30905
16,3.174,16223.386,10513,29073
17,1.306,20387.421,14378,33182
18,0.613,26123.836,17154,48451
19,1.486,19836.703,12410,47642
20,1.675,22072.554,16279,36380
21,1.638,24829.667,15287,65008
22,3.729,32261.010,13116,76382
23,1.671,23696.442,14009,62402
24,1.381,20187.161,13495,38431
25,0.621,43477.878,26180,68981
26,1.780,43816.882,24348,69552
27,1.743,14331.390,9900,23975
28,1.848,21561.841,14472,43120
29,3.053,24257.924,13013,42144
30,1.814,21901.755,12193,38816
31,0.558,30008.414,17077,67037
32,1.360,22773.951,14434,43926
33,1.965,28375.799,15678,60044
34,1.201,20316.101,11059,41344
35,2.070,28906.671,16452,60950
36,2.049,30019.090,16714,68122
37,1.747,28265.536,15536,53671
