 ,Area,Mean,Min,Max
1,1.688,79515.368,46974,173849
2,1.617,69481.582,47072,102422
3,1.159,77314.080,47007,112617
4,1.621,68206.246,46986,93175
5,1.470,77764.591,47115,115063
6,2.020,76985.489,47015,116931
7,1.864,89172.225,46997,143729
8,1.873,67541.805,47078,136307
9,0.802,81679.990,47200,147860
10,1.197,76118.144,46982,105769
11,2.280,98105.057,47011,152845
12,1.365,81001.966,47196,112980
13,1.478,74209.543,47033,108360
14,2.843,104478.548,47003,189527
15,1.587,79646.468,47569,109404
16,1.793,72263.337,33877,111884
17,1.151,60412.120,47132,75891
