 ,Area,Mean,Min,Max
1,1.856,9623.541,6297,21975
2,1.121,11909.191,6346,21735
3,1.272,14865.116,7765,36900
4,2.100,12985.116,7686,25569
5,1.008,10312.204,6951,24373
6,1.117,9453.605,5327,21454
7,2.259,34912.362,17339,74845
8,1.419,17449.846,9743,29470
9,1.230,6685.662,4860,12738
10,1.151,13127.949,7665,26751
11,1.172,11394.925,6906,31644
12,0.831,18998.429,11909,31842
13,2.620,21010.774,11155,46017
14,2.007,24987.799,9690,56868
15,1.680,24806.090,15737,51735
16,1.507,20296.496,10324,57659
17,0.651,12458.413,6174,23805
18,2.175,9597.448,6195,16370
19,1.117,14800.045,8227,27181
20,2.356,13396.508,6720,27786
21,2.330,15981.105,7244,55127
22,2.318,13717.212,9226,24501
23,1.965,19750.703,10513,37197
24,3.473,12022.158,8942,15362
25,2.163,20778.515,9078,38235
26,1.444,23361.212,11438,49427
27,2.986,17708.695,6754,31477
28,2.952,12295.994,8089,21448
29,1.684,12729.576,7717,21281
30,2.246,16879.897,9490,36462
