 ,Area,Mean,Min,Max
1,1.138,43875.092,29358,57592
2,1.067,76942.583,29531,144015
3,1.999,51545.821,29188,83851
4,0.626,54052.054,29211,123327
5,1.180,50769.637,29251,76461
6,1.932,53223.839,29232,86427
7,0.592,44893.220,29464,68095
8,2.553,53320.197,29297,94854
9,1.222,49000.082,29263,76584
10,1.289,52415.306,29200,86121
11,2.729,57534.852,29278,96282
12,1.318,53273.908,29255,80609
13,1.680,49493.777,26942,90453
14,2.326,52198.377,29251,80415
15,1.839,52253.845,29355,85674
16,1.793,50592.326,29188,82730
