 ,Area,Mean,Min,Max
1,1.167,11417.374,7894,14697
2,1.050,19271.468,9364,37134
3,1.348,24550.081,12659,54567
4,1.423,18857.053,10475,39726
5,1.247,8105.576,5160,13255
6,1.747,22281.875,11930,38090
7,0.945,11321.462,7071,22223
8,1.025,16030.607,6977,30873
9,1.533,21386.751,10542,35652
10,1.083,20875.922,11072,50344
11,0.516,11866.772,5017,28049
12,1.360,20405.481,12030,55394
13,2.091,18216.016,11477,44339
14,1.940,23740.569,11239,41899
15,2.360,10977.468,8556,16243
16,0.693,13646.552,10088,24201
17,1.852,21100.791,10231,51475
18,1.020,7422.029,5011,14126
19,1.713,9836.304,5988,16258
20,2.280,21658.396,7705,36962
21,1.113,16123.396,7773,52250
22,1.940,17201.452,8126,30093
23,1.407,13723.675,6662,23638
24,1.927,17915.627,9100,40264
25,0.878,5249.301,3796,10892
26,0.987,16638.485,9473,25753
27,2.477,17921.612,9706,28561
