 ,Area,Mean,Min,Max
1,1.050,7081.384,4923,11371
2,0.957,6726.820,4508,11417
3,1.235,5002.007,3677,8887
4,2.364,8010.202,5225,12238
5,1.457,13817.291,8404,24505
6,1.386,7684.461,4833,12596
7,1.075,8390.723,5919,17462
8,1.348,11286.399,8073,18160
9,1.528,7691.951,5205,14683
10,2.238,8166.347,4969,13888
11,2.213,5035.907,3340,8478
12,1.058,7585.095,5090,11271
13,3.258,11911.608,5911,32456
14,1.218,5467.566,3857,8250
15,1.415,12587.098,6194,22806
16,1.961,15984.233,10186,29479
17,1.239,6062.003,4417,12093
18,1.852,7898.150,4625,12049
19,1.365,7995.123,6118,13564
20,0.928,5893.959,3996,8835
