 ,Area,Mean,Min,Max
1,1.898,42603.115,28974,67817
2,0.924,32693.118,28955,41430
3,2.003,55009.639,28973,86947
4,1.138,35116.306,28995,43002
5,1.318,41534.436,28966,56478
6,0.710,35986.485,29085,47019
7,1.302,42129.435,28945,53433
8,1.873,45268.370,28957,71810
9,1.852,59103.560,29102,94607
10,1.373,49130.725,29083,69932
11,1.222,53299.921,29013,78040
12,2.011,37125.240,28962,56891
13,0.999,38202.819,29033,51513
14,1.113,45099.264,28966,61634
15,1.461,59892.991,28950,118053
16,1.159,42600.457,28984,59051
17,2.776,69157.490,29019,122989
18,1.428,42583.847,29003,58613
19,1.285,42443.578,29027,64468
20,3.699,68561.322,28951,144327
21,1.222,48419.127,29033,73174
22,1.008,60087.292,29124,99336
23,1.768,50584.829,29249,72218
24,1.890,42073.511,28954,63908
25,2.931,68361.287,28996,138257
26,1.188,42237.707,28969,58771
27,1.533,50760.833,28946,73105
28,1.247,43966.539,28951,71026
29,1.247,47114.259,29701,71319
30,2.037,53941.918,28956,76970
31,1.709,63068.518,28973,113113
32,2.204,70504.709,29324,129902
33,1.251,55959.440,28987,86855
34,1.004,36356.310,28962,46127
35,1.209,48846.215,28985,74554
36,1.524,51591.030,29036,83029
37,0.815,42732.830,28978,70285
38,2.448,75121.604,29000,140514
39,1.604,46687.128,29003,81909
40,2.251,72057.407,29052,127184
41,1.369,42891.101,28994,61645
42,1.373,43171.419,28962,58353
43,2.213,43911.085,29038,78082
44,1.163,43123.527,28992,57181
45,1.281,53498.246,29091,82571
46,0.899,63955.556,29111,103755
47,1.251,37391.510,28950,49411
48,0.831,36461.000,28990,48555
49,1.894,62895.255,28988,99270
50,1.482,43987.252,29039,64586
51,1.587,48154.474,28961,68390
52,1.075,44729.840,28951,75161
53,2.158,66409.973,29165,123338
54,1.180,51280.210,29125,74667
55,1.365,43066.280,28959,60383
56,2.225,61929.638,28995,99613
57,1.579,48655.120,28995,64336
58,2.410,70087.709,28944,146036
59,1.071,42933.000,28953,70139
60,2.427,43375.393,28970,60863
