 ,Area,Mean,Min,Max
1,1.415,42735.353,26976,71209
2,1.419,41781.006,26905,65991
3,0.890,41938.552,26858,59981
4,0.953,40457.330,26879,54404
5,1.025,36305.098,27008,46796
6,1.251,48223.832,27259,67873
7,0.995,39121.228,26939,59747
8,2.410,47623.411,26853,78824
9,1.209,40243.069,27084,59670
10,1.491,43574.113,26866,66401
11,1.898,48339.845,27007,78106
12,0.785,32993.888,26914,40864
13,2.360,52368.813,26932,87139
14,2.692,43341.069,26568,78791
15,1.667,45205.161,26969,65228
16,1.885,46513.793,26864,80887
17,2.293,59417.011,26856,112042
18,1.344,43260.475,26895,62156
19,2.797,38961.920,26855,65341
20,1.608,40000.679,26859,52637
21,1.575,49973.483,26855,86234
22,1.835,48825.787,26859,77062
23,2.561,42942.595,26917,66372
24,1.944,51276.920,26901,87987
25,2.574,50295.232,26992,76181
26,2.616,38148.482,26859,56932
27,2.196,40308.637,26855,58653
28,2.477,59717.778,26868,104647
29,1.743,44735.417,27073,68971
30,1.402,53249.749,26863,90524
31,1.604,46387.277,27093,72200
32,1.373,44211.116,26857,67461
33,1.054,45328.287,26933,68078
34,1.402,47737.530,26874,77483
35,2.150,55418.795,26929,91957
36,1.415,47123.353,27064,72311
37,1.730,49306.869,27010,89097
38,1.919,56030.420,27002,85687
39,1.453,64417.064,26890,129543
40,3.708,46239.059,26858,90617
41,3.708,50015.814,26902,76148
