 ,Area,Mean,Min,Max
1,1.167,52113.540,42728,74886
2,1.050,74853.068,42992,117581
3,1.348,56054.296,43040,69990
4,1.423,85724.419,42777,135912
5,1.247,70274.081,42915,98464
6,1.747,91070.151,42746,146624
7,0.945,60483.818,42872,77758
8,1.025,77803.049,43034,112947
9,1.533,72872.063,42813,114658
10,1.083,58885.864,42940,76840
11,0.516,52210.366,42735,68633
12,1.360,53099.870,42740,77606
13,2.091,91849.675,42893,148641
14,1.940,98810.225,42724,184687
15,2.360,99405.267,42742,190227
16,0.693,107071.115,42958,213591
17,1.852,97091.855,42878,177305
18,1.020,59671.872,42733,78086
19,1.713,87579.159,43015,136648
20,2.280,91693.917,43427,144096
21,1.113,68271.826,42904,100479
22,1.940,95594.580,42750,166950
23,1.407,65661.027,42796,89169
24,1.927,97443.318,42809,164524
25,0.878,60668.220,43060,75568
26,0.987,78007.630,42734,121424
27,2.477,69345.225,39720,127714
