 ,Area,Mean,Min,Max
1,1.281,71960.095,47561,104157
2,2.314,78296.042,47438,163763
3,2.486,81700.841,44217,149517
4,0.546,71201.708,47477,112925
5,1.684,90035.022,47469,209528
6,1.470,68079.966,47404,92561
7,1.495,81839.966,47419,133101
8,1.411,77667.488,47660,124643
9,1.919,87114.341,47608,147185
10,0.890,69437.877,47569,120741
11,1.373,88069.526,47664,137669
12,1.898,71614.739,47513,107984
13,2.003,65814.229,47455,100194
14,1.444,76270.985,47480,114049
15,1.919,72639.860,47490,106580
16,1.444,73029.587,47619,108534
17,1.226,117171.688,47488,226137
18,1.398,68671.066,47480,88077
19,1.457,90940.637,47426,173128
20,1.197,78206.270,47510,114395
