 ,Area,Mean,Min,Max
1,1.100,8925.191,5083,14152
2,1.776,22417.631,7470,46349
3,1.306,20405.585,12680,36752
4,1.402,14718.560,8424,26812
5,0.995,6545.835,4107,13065
6,1.419,20319.183,12687,32951
7,1.528,7640.464,4846,13210
8,1.033,9999.260,6074,17299
9,1.125,10914.377,6716,19260
10,2.204,22962.154,11922,104921
11,1.331,23748.830,12037,39709
12,1.256,24249.191,11804,45215
13,1.398,17852.141,8795,31270
14,2.414,18995.727,10386,42814
15,1.507,25717.864,14813,80750
16,1.377,10539.689,5915,32695
17,1.335,19527.742,10028,39532
18,2.230,22120.861,11824,53947
19,1.659,24149.901,12171,49009
20,1.449,17968.267,10895,36134
21,1.495,19250.205,10598,36017
