 ,Area,Mean,Min,Max
1,0.966,53772.848,34305,76558
2,1.071,49757.329,34288,62090
3,0.802,42204.382,34373,55019
4,1.449,50650.565,34243,70406
5,0.899,63331.430,34881,102982
6,1.373,46448.095,34289,67955
7,1.172,48998.806,34274,67309
8,1.516,48736.729,34291,67525
9,2.066,76601.419,34316,126997
10,1.948,64333.750,34536,94981
11,1.407,55846.128,34323,90962
12,1.503,54061.447,34253,78155
13,2.771,89822.848,34276,175287
14,1.092,56641.458,34273,78833
15,1.965,64857.697,34316,127236
16,1.205,47672.272,34265,58671
17,1.352,53027.724,34252,77170
18,1.331,76615.054,34278,160497
19,1.596,66893.368,34317,121389
20,0.899,60682.598,34269,98873
21,1.734,65475.530,34267,99135
22,1.201,52940.360,34405,77862
23,1.226,51258.894,34248,74008
24,2.645,59503.760,34255,83811
25,1.764,55959.924,34248,92306
26,2.616,82764.345,34256,162964
27,1.142,54100.930,34356,74816
