 ,Area,Mean,Min,Max
1,1.688,16378.925,8555,40578
2,1.617,9816.704,6528,22232
3,1.159,8717.322,6562,15698
4,1.621,10701.212,7486,15998
5,1.470,14209.257,9190,26460
6,2.020,10635.158,7167,17621
7,1.864,15920.998,9221,40085
8,1.873,20131.448,10634,47578
9,0.802,18970.115,11619,38522
10,1.197,10127.277,7234,20028
11,2.280,16602.578,9496,39665
12,1.365,15370.511,7378,42457
13,1.478,11361.077,8147,23294
14,2.843,15407.598,8191,25021
15,1.587,14674.497,9211,31465
16,1.793,11910.792,7328,29308
17,1.151,8848.073,5056,15494
