 ,Area,Mean,Min,Max
1,0.768,13047.306,9755,26154
2,1.902,19015.775,11748,36618
3,1.537,24643.101,14897,49592
4,1.226,15272.493,11567,23037
5,2.532,32467.685,20650,75274
6,1.738,13718.626,10459,21925
7,2.020,16710.638,11652,25124
8,1.062,17489.917,11941,24557
9,1.709,30112.130,18461,67209
10,1.822,18199.675,11644,37573
11,1.848,30310.518,16540,74445
12,1.041,22500.113,11898,37810
13,1.318,47618.395,29810,85656
14,1.025,19191.967,12473,32437
15,1.608,17295.877,11702,28263
16,1.058,13043.393,10508,18586
