 ,Area,Mean,Min,Max
1,0.970,46067.684,25381,74503
2,1.684,33548.401,25282,46825
3,2.167,44712.672,25343,67525
4,1.079,40079.996,25282,56389
5,2.692,47656.733,25282,86289
6,1.730,48316.772,25310,90763
7,1.583,52753.088,25330,93674
8,1.054,36905.287,25277,51160
9,1.088,40957.973,25300,60064
10,1.528,35107.874,25300,54308
11,2.204,50254.137,25318,79186
12,1.214,38575.654,25276,58230
13,1.839,44312.180,25279,74428
14,0.689,34400.665,25307,46693
15,1.092,40559.346,25357,58864
16,1.016,41575.442,25357,62932
17,2.629,39762.380,18500,74134
