 ,Area,Mean,Min,Max
1,0.819,28978.944,24523,37000
2,0.546,32088.954,24548,53649
3,2.679,62897.760,24481,135052
4,1.860,45012.986,24514,71722
5,1.759,35925.979,24524,54878
6,1.407,36413.904,24572,51318
7,2.200,41288.521,24525,75606
8,0.857,50117.907,24517,84222
9,1.583,44387.069,24511,82571
10,1.335,51121.500,24592,83561
11,2.809,39597.250,24488,90417
12,4.451,36724.093,24485,68977
13,1.873,46706.471,24515,86794
14,1.369,60008.914,24508,120181
15,1.331,39505.016,24492,60848
16,2.259,48489.167,24491,87253
17,1.591,39447.493,24243,72406
18,1.176,30168.796,24549,41924
19,1.659,53771.066,24665,90834
20,1.953,37218.770,24493,76356
21,2.540,38239.607,24517,68215
22,1.188,36626.159,24501,52307
23,1.940,41744.405,24564,69791
24,2.272,50475.227,24513,94893
