 ,Area,Mean,Min,Max
1,1.856,43447.973,21537,72238
2,1.121,37030.524,21861,52259
3,1.272,41171.538,21606,64856
4,2.100,39418.992,21537,60697
5,1.008,34087.904,21523,50711
6,1.117,39425.105,21542,57868
7,2.259,46198.602,21626,75548
8,1.419,33581.527,21635,47343
9,1.230,50970.089,21566,91983
10,1.151,37910.358,21535,50972
11,1.172,32229.000,21523,46735
12,0.831,50233.212,21571,138155
13,2.620,47783.224,21582,88692
14,2.007,29933.423,21518,40887
15,1.680,39891.185,21537,82181
16,1.507,35674.501,21550,58284
17,0.651,28440.465,21577,38100
18,2.175,30095.902,21566,39411
19,1.117,42026.752,21592,78617
20,2.356,37373.594,21557,59817
21,2.330,46480.299,21574,82943
22,2.318,31131.949,21530,45572
23,1.965,55129.850,21523,96114
24,3.473,48933.339,21538,108264
25,2.163,38924.977,19639,72395
26,1.444,41958.680,21522,68020
27,2.986,43310.883,21548,89319
28,2.952,35844.740,21591,61225
29,1.684,30737.559,21527,47724
30,2.246,31122.624,21519,54445
