 ,Area,Mean,Min,Max
1,1.898,7707.033,5130,22267
2,0.924,19458.000,11060,31653
3,2.003,10642.828,6683,19785
4,1.138,7441.410,4786,13279
5,1.318,6137.341,4515,10363
6,0.710,7316.675,5253,10662
7,1.302,7122.377,4867,12949
8,1.873,12165.457,7495,24706
9,1.852,9489.073,5027,20979
10,1.373,8387.251,5155,19185
11,1.222,5657.969,3786,9780
12,2.011,7714.848,5302,13003
13,0.999,6324.529,4412,11523
14,1.113,8677.709,5703,15360
15,1.461,8234.624,5165,18162
16,1.159,9421.844,4702,35873
17,2.776,18991.862,9083,45339
18,1.428,12388.468,7039,26204
19,1.285,8744.768,4700,31329
20,3.699,16356.306,7934,85827
21,1.222,9400.893,6293,23935
22,1.008,8363.812,5710,13637
23,1.768,14174.024,7002,28313
24,1.890,8627.509,5268,28420
25,2.931,11221.775,4682,26911
26,1.188,7533.322,4657,16556
27,1.533,10601.326,6623,17422
28,1.247,8343.131,5008,14350
29,1.247,6967.354,4863,14200
30,2.037,10047.652,6607,20907
31,1.709,7245.742,4753,16523
32,2.204,12019.571,6672,69179
33,1.251,11441.060,6632,24629
34,1.004,8914.661,5053,26477
35,1.209,9479.948,6494,20585
36,1.524,15359.992,7625,38451
37,0.815,9919.216,4777,20532
38,2.448,20661.489,8820,48799
39,1.604,7127.940,4786,16736
40,2.251,13678.550,7727,33769
41,1.369,7328.733,3960,14371
42,1.373,11383.398,6482,23919
43,2.213,11737.021,6405,47962
44,1.163,7512.610,4854,14492
45,1.281,7874.295,4053,26483
46,0.899,6898.743,4131,9185
47,1.251,8969.117,5414,25167
48,0.831,8906.369,5325,21372
49,1.894,8616.867,4933,19364
50,1.482,7659.215,5100,17220
51,1.587,15195.458,8468,26729
52,1.075,8338.105,3984,26151
53,2.158,13585.881,7305,26135
54,1.180,7138.537,5084,11666
55,1.365,10845.723,5339,23400
56,2.225,7500.615,5199,12244
57,1.579,6314.782,4225,13636
58,2.410,10575.427,5984,23173
59,1.071,7264.063,4749,14300
60,2.427,7397.279,4523,10948
