 ,Area,Mean,Min,Max
1,1.549,40718.780,28954,75740
2,1.419,46140.139,28963,63020
3,1.197,44063.439,28969,61714
4,0.731,35209.534,29163,42265
5,1.890,54695.522,28952,83626
6,1.230,38803.727,28969,49950
7,1.516,46483.909,28996,65812
8,1.348,46638.760,28954,66945
9,1.348,46431.227,29300,63404
10,1.260,50774.727,28947,87226
11,1.516,53112.911,28945,85120
12,1.982,53060.229,29098,87009
13,2.343,61825.513,29096,117678
14,1.360,49815.034,28939,76523
15,1.583,45666.122,29016,62049
16,1.016,47085.521,28994,69636
17,1.285,49132.582,28966,68439
18,1.281,45181.875,29018,68511
19,3.086,59804.163,28962,113989
20,1.755,49937.510,29182,85051
21,1.377,72258.357,28938,130885
22,1.016,42264.492,28960,55670
23,1.612,64252.940,29065,106944
24,1.591,49142.459,28931,77243
25,1.096,41288.142,29117,53868
26,1.776,48802.047,29006,76645
27,1.239,45396.542,28982,64406
28,1.058,49975.020,28976,74248
29,1.226,46262.349,28952,69957
30,2.456,61573.682,28992,119520
31,1.827,56823.795,29046,91350
32,0.932,43086.414,29253,60651
33,0.831,38277.551,28984,48820
34,1.713,51634.858,29012,72216
35,1.214,43386.394,29028,69149
36,2.146,70286.636,29142,171299
