 ,Area,Mean,Min,Max
1,0.941,4862.022,3304,6951
2,1.046,5607.237,4197,8150
3,1.289,5300.212,3272,9135
4,0.672,5157.081,3457,8175
5,1.638,6456.064,3825,10201
6,1.423,7589.976,4890,14506
7,2.238,9054.355,5836,15742
8,2.125,5522.808,3923,7771
9,1.533,6420.304,4300,13367
10,1.092,6011.954,4115,12515
11,2.536,9213.929,5606,20054
12,2.116,6761.899,4124,16586
13,1.797,6760.549,4897,10251
14,1.743,10056.614,5622,20415
15,1.852,7565.168,4962,12575
16,1.436,5473.605,3946,9195
17,2.003,11884.474,6316,24477
18,0.983,6241.244,3951,13086
19,1.428,9264.950,6240,19974
20,1.004,7889.866,5208,14111
21,1.436,6409.652,4363,11857
22,1.277,9364.757,4912,21253
23,1.243,6588.791,4525,17264
24,1.348,4848.604,3501,6984
25,2.994,8792.968,5237,21409
