 ,Area,Mean,Min,Max
1,1.306,19657.691,9861,32267
2,1.352,12707.370,6174,22834
3,1.235,11802.320,7249,22378
4,1.197,6113.884,3987,9818
5,1.528,16885.335,9653,26825
6,2.028,11649.375,6318,21735
7,1.033,6643.398,3823,12596
8,1.167,10141.079,6041,20769
9,2.990,21737.846,9241,40364
10,1.146,21339.286,10552,35993
11,1.369,14153.902,7277,25943
12,2.305,13202.628,7711,29419
13,1.298,23670.340,12228,72085
14,1.323,20000.413,8248,40352
15,1.281,26337.738,10933,41595
16,1.600,17232.378,7413,29569
17,1.394,13846.873,7075,39883
18,0.579,28402.558,18637,37140
19,2.188,8788.083,5228,17343
20,1.810,10208.174,6050,20815
21,1.277,7605.553,5077,14443
22,1.583,13361.098,7272,32979
23,2.116,16325.480,10854,50032
24,1.268,8338.517,5244,15760
25,2.574,9934.821,6779,26421
26,1.335,15763.230,8751,32750
27,2.557,11310.934,6989,23530
