 ,Area,Mean,Min,Max
1,1.608,46843.373,28029,89694
2,2.217,58698.426,27984,106213
3,1.902,36599.921,27993,88590
4,1.398,41299.961,28045,63013
5,1.608,48168.329,28240,72182
6,2.414,57245.329,27969,100556
7,2.368,61136.085,28087,111704
8,1.339,45877.903,28008,68451
9,2.087,48363.233,27967,72006
10,2.536,56420.677,28021,93996
11,1.638,49415.487,27968,74613
12,1.415,36435.668,27984,52654
13,1.356,54119.610,28048,84528
14,1.310,60980.173,28028,100899
15,1.621,40325.290,27983,55724
16,1.566,41171.879,27970,61569
17,1.432,54615.273,28017,86418
18,2.435,60979.460,28302,133307
19,1.570,37566.842,28025,51902
20,0.592,40724.929,27985,70528
21,1.726,57785.735,28047,97612
22,1.633,50676.571,27999,81681
23,1.436,48027.365,28001,76378
24,2.402,63326.005,27974,110604
25,2.637,51650.804,28051,88003
26,1.033,33743.280,28022,44037
27,1.268,43819.464,27983,60294
28,1.684,47468.214,28184,81372
29,2.402,56921.458,27982,93185
30,1.314,49956.997,27988,74360
31,1.675,37588.238,28060,52370
32,1.675,49537.757,28007,80474
33,2.318,48369.172,27989,84750
34,1.495,44574.924,28071,64739
35,1.365,42438.369,28069,65234
36,2.267,62654.502,27987,105369
37,1.495,43638.475,28049,67639
38,1.793,57041.948,28007,98622
39,1.608,44364.504,28041,73623
40,1.495,50441.955,28014,87031
41,2.070,64420.899,28010,118402
42,1.709,52441.145,28055,80360
43,2.083,37796.966,27983,58662
44,1.344,42852.181,27998,61303
45,1.705,40550.872,27980,54621
46,1.747,66650.969,28251,136504
47,1.726,49655.966,28131,78563
48,1.159,42819.808,27980,61951
49,1.394,43963.114,27994,69602
50,1.503,48420.092,28038,71379
51,1.348,44851.648,28081,66816
52,1.491,41795.682,28024,57192
53,2.515,63266.663,28059,106250
54,1.449,45898.861,28028,63077
55,1.591,43296.003,27999,69206
56,1.411,46007.667,27999,70535
57,1.537,48382.016,28015,69766
58,1.461,49436.813,28250,89056
59,1.100,45435.916,27980,66975
60,2.566,50015.018,28028,95848
61,0.722,58498.081,28020,115542
62,3.036,44357.367,28025,78946
