 ,Area,Mean,Min,Max
1,1.323,55997.098,41733,85274
2,1.251,65501.493,41796,95910
3,1.591,65930.433,41756,88287
4,1.344,93701.031,41807,146976
5,1.083,61258.240,42186,79909
6,1.327,64753.187,41795,97338
7,1.230,78201.631,41974,119317
8,1.260,68581.207,42169,95312
9,1.235,58461.871,42075,72315
10,1.717,61257.998,42001,105927
11,1.033,66601.667,41807,103512
12,1.235,64226.956,41827,94878
13,1.373,71248.159,41746,100118
14,1.680,67074.712,41897,103378
15,1.520,80208.961,41824,123409
16,0.978,55826.755,41781,74507
17,1.243,106509.750,41847,254425
18,2.339,82940.070,42107,143597
19,1.835,81422.730,42092,139072
20,1.096,69502.092,41943,97949
21,0.840,58115.855,41755,84920
22,1.911,87033.141,41778,151001
23,1.654,82052.081,42174,134316
24,1.083,71619.295,41804,114808
25,1.239,75448.417,41970,118490
26,1.432,75308.323,41899,130194
27,0.957,65677.412,42084,92748
28,2.142,98879.053,41737,148099
29,1.940,100931.881,41838,179856
30,2.045,76910.867,41955,114973
31,1.444,71270.962,42174,108434
32,2.326,83125.014,41892,131164
33,1.130,60716.900,41802,80162
34,1.159,72189.678,41925,102265
35,1.054,80927.450,42060,123030
36,1.381,77328.082,41985,119846
37,1.146,87596.974,42181,141586
38,1.751,78518.357,41763,136235
39,1.281,56490.944,41770,72160
40,2.074,94948.885,41826,167644
41,1.684,58948.706,41754,90132
42,1.465,72716.862,42165,111712
43,1.130,61130.595,42253,82003
44,1.209,53389.097,41790,70820
45,1.348,66186.109,42123,89761
46,1.478,92406.895,42143,143392
47,1.680,86678.197,41985,145541
48,1.281,70510.039,42192,103742
49,1.012,68059.510,41764,104531
50,0.915,55299.606,41787,69125
51,1.432,96445.176,42547,152527
52,1.184,82057.082,41762,146981
53,2.360,87506.715,41744,166968
54,1.096,74090.165,41865,108922
55,1.251,70140.970,41802,102323
56,1.130,73525.041,42114,110459
57,1.327,69913.066,41876,102960
58,1.327,70908.228,41782,99881
59,1.969,86208.164,41743,187473
60,1.646,92492.367,41756,150225
61,1.016,63544.624,41845,90029
62,1.272,62730.677,42128,93022
63,1.020,97051.547,41866,191549
64,1.554,78769.938,41822,145423
65,1.239,76823.597,41855,126734
66,1.167,68207.302,41948,111202
67,2.112,93967.654,41873,160554
68,1.100,74476.992,42387,111549
69,1.163,74560.148,41765,116915
70,1.125,58482.907,41771,80812
71,0.995,69930.063,41758,110803
72,1.230,63650.222,41761,85545
73,0.848,59456.990,41923,79797
74,3.137,65486.743,41759,105956
75,1.944,89943.842,41803,145425
76,1.172,65349.692,41832,87585
77,1.583,75944.485,42423,114401
78,1.331,71415.754,41767,114722
79,0.701,55117.772,41803,97247
80,2.385,96113.702,41812,189071
81,0.781,60570.091,41737,80928
82,1.272,63958.208,41748,92005
83,1.566,60601.220,41747,84874
84,1.029,58546.620,41749,78675
85,1.188,74655.102,41924,113016
86,1.020,77174.444,41839,116978
87,1.314,75227.412,41761,110197
88,1.142,63360.926,42172,82191
89,1.537,75645.716,41754,127377
90,1.193,65779.342,41838,99353
91,1.104,81722.852,42716,122323
92,1.789,68547.979,41833,109556
93,1.096,74923.146,41871,116214
94,1.104,50979.369,41733,81617
95,0.907,96364.917,41838,179354
96,1.751,83450.705,41841,138201
97,1.348,60178.969,41850,97270
98,0.974,62910.440,41800,88199
99,1.096,105427.257,41910,210654
