 ,Area,Mean,Min,Max
1,3.069,20868.421,14240,39908
2,2.616,20700.262,13531,53189
3,1.386,17410.612,12821,38883
4,1.512,22366.858,14581,42805
5,1.642,24818.095,14595,55644
6,2.427,19550.919,12662,45708
7,1.772,31538.273,13080,59757
8,1.193,27107.278,15624,69527
9,1.339,45335.401,22887,113374
10,1.696,28093.465,15387,47208
11,0.932,15812.050,12327,23285
12,1.159,20806.105,13130,41124
13,2.914,24178.536,14424,54219
14,2.645,38966.943,17911,99801
15,1.827,19822.949,13993,29533
16,2.368,27419.230,16235,61492
17,2.511,35072.758,16089,68145
18,2.927,24528.600,16081,43356
19,2.045,33880.246,19692,76654
20,0.697,57316.229,29561,84911
21,2.767,64269.941,32540,126408
22,1.331,24486.842,14199,37867
23,0.869,31151.589,14365,61251
24,0.584,35444.554,20717,54777
25,2.847,18517.683,9064,41140
26,1.696,17257.302,11897,31127
