 ,Area,Mean,Min,Max
1,1.281,15481.921,9904,25046
2,2.314,18468.584,10123,34812
3,2.486,27264.498,15703,46948
4,0.546,21241.962,15193,31799
5,1.684,27191.010,16025,57144
6,1.470,19451.323,12513,29994
7,1.495,22916.351,12829,46962
8,1.411,17634.673,11984,32687
9,1.919,10989.293,8029,24924
10,0.890,12436.344,9339,18852
11,1.373,19000.948,11171,37915
12,1.898,13238.458,9688,21682
13,2.003,13821.593,9335,22235
14,1.444,12957.029,9523,23003
15,1.919,14733.573,10069,25475
16,1.444,13648.203,9173,23060
17,1.226,10732.099,7513,18934
18,1.398,15016.625,10566,24709
19,1.457,20030.499,11171,31843
20,1.197,18329.589,10718,38635
