 ,Area,Mean,Min,Max
1,1.932,48518.783,28430,77256
2,1.193,50802.757,28416,75428
3,1.486,50841.681,28310,75680
4,1.587,35530.717,28316,54820
5,1.335,49377.365,28601,80666
6,0.617,35669.769,28485,54615
7,1.549,52664.894,28343,80167
8,1.407,49920.710,28314,78542
9,2.121,58747.610,28403,101044
10,1.386,59382.209,28373,118340
11,1.873,42726.240,28719,66426
12,1.491,42768.000,28463,59648
13,1.356,39013.464,28388,52765
14,1.117,75024.180,28645,159171
15,2.566,58239.486,28345,128602
16,1.394,46385.310,28350,71095
17,1.869,56776.894,28452,102714
18,1.390,50056.139,28425,75380
19,1.394,43927.696,28395,61769
20,1.524,47005.267,28385,75565
21,2.024,65725.668,28381,116064
22,1.671,52873.329,28454,82974
23,0.857,44832.750,28401,70655
