 ,Area,Mean,Min,Max
1,1.281,37870.931,27635,51757
2,0.756,34913.422,27668,52262
3,1.205,42050.767,27678,66199
4,1.125,49155.090,27667,74318
5,1.608,43105.089,27798,62401
6,1.537,57269.347,28182,97432
7,2.263,58261.733,27652,99579
8,0.781,41683.048,27997,57300
9,1.377,40475.567,27618,56780
10,1.755,42345.256,27636,70703
11,1.995,43484.663,27609,61527
12,1.151,38968.854,27600,56997
13,1.235,40866.571,27725,56252
14,1.386,37264.533,27627,52539
15,1.302,31230.981,27662,39271
16,1.151,45214.675,27615,72304
17,2.377,70164.088,27618,138849
18,2.100,44720.268,27640,72711
19,1.247,45531.670,27657,69285
20,2.423,60244.104,27614,110978
21,2.087,53188.636,27669,90480
22,1.705,38406.200,27669,57884
23,1.218,64006.666,27832,127910
24,2.032,52192.919,27609,81833
25,2.473,65925.382,27600,111697
26,1.877,48299.463,27594,76230
27,1.281,40474.272,27727,55581
28,1.302,44213.455,27653,64116
29,1.575,55575.549,27702,89995
30,1.801,33957.548,27654,45576
31,1.398,40453.814,27714,57827
32,1.612,39757.211,27625,53515
33,1.503,46407.067,27787,64133
34,2.725,74617.257,27609,136541
35,2.578,61755.176,27655,117077
36,1.428,47120.185,27569,75685
37,1.982,58608.197,27726,100188
38,1.050,67875.592,27833,118814
39,1.663,41380.164,27607,73801
40,1.268,50654.318,27853,74598
41,1.512,40239.808,27599,53729
42,1.281,50353.869,27714,79663
43,1.520,48347.878,27680,72554
44,1.134,61664.411,27800,101171
45,1.163,54329.625,27691,80174
46,1.184,56188.848,27598,90209
47,1.604,45838.401,27610,72805
48,1.310,40033.795,27605,56707
49,1.331,50510.729,27606,73964
50,1.486,53308.116,27621,86171
51,1.717,56219.873,27701,89958
52,1.818,45944.769,27604,73551
53,2.456,64298.903,27632,132455
54,1.268,37409.457,27623,52654
55,1.629,44220.549,27615,61773
56,2.645,58742.311,27623,94169
57,2.351,64529.750,27616,119107
58,3.204,45643.345,27625,79390
59,1.512,42251.706,27598,60524
60,1.877,56602.123,27717,99717
61,1.272,47860.432,27754,70773
62,1.318,46452.092,27629,69404
63,0.915,36150.156,27630,49728
64,1.638,47272.613,27600,70740
65,1.625,50928.147,27712,83656
66,2.213,50540.717,27648,85318
67,1.885,42198.189,27772,94500
68,1.730,42602.036,27625,63292
69,1.369,46474.215,27739,72932
70,1.444,49517.744,27685,72542
71,2.041,36068.877,27630,50573
72,2.204,41015.337,27597,59293
