 ,Area,Mean,Min,Max
1,1.915,16871.640,12375,25705
2,1.130,21597.004,14368,35075
3,0.600,28838.049,18499,62547
4,1.100,18303.828,13278,25831
5,2.666,26191.124,15958,87545
6,1.696,20755.087,14897,31646
7,1.025,24384.820,13438,50221
8,1.394,21672.988,14444,33786
9,1.591,31799.739,18046,50262
10,1.172,16865.122,11973,38576
11,0.999,22611.517,14253,39506
12,2.637,37805.357,20076,90229
13,1.289,26032.616,16678,51914
14,1.306,17406.633,10387,30118
15,1.247,17233.502,11481,26129
16,1.474,20206.570,14935,31997
17,0.966,20636.413,14403,33112
18,1.046,13039.687,9062,18521
19,1.650,25018.280,15980,41769
20,2.225,18782.496,13071,41282
21,2.797,20523.856,11263,41345
22,1.046,19395.791,12001,29433
23,2.469,28475.481,15530,83970
24,1.587,19583.817,12393,34566
25,2.662,28510.224,17164,63843
26,1.625,32454.147,16390,112374
27,1.621,26280.269,15962,48660
28,0.626,27320.376,15373,49949
29,1.335,25037.657,13539,49337
30,1.289,25228.857,15293,46046
31,1.176,20969.514,15297,34024
