 ,Area,Mean,Min,Max
1,3.090,41218.609,25831,68613
2,1.289,37189.954,25874,55299
3,2.347,44646.658,25876,71679
4,2.225,45191.136,25831,91489
5,1.776,41452.515,24948,76742
6,2.204,38759.050,25832,56808
7,2.125,38074.654,25956,67517
8,2.100,48565.704,25997,80659
9,0.886,45463.071,25913,66255
10,2.629,61736.559,25908,128066
11,1.193,39368.496,25837,61292
12,2.293,44758.469,25847,68007
13,1.709,39359.688,25990,60094
14,1.906,43938.544,25818,76071
15,2.860,50816.799,25875,96023
16,1.335,44340.931,25877,73692
17,1.457,44179.625,26006,72771
18,4.010,42006.173,25828,75972
19,1.507,47517.309,25832,76978
20,1.390,42526.810,25992,61812
21,2.826,52077.909,25818,92711
22,1.621,39486.117,25964,57671
23,2.221,53518.206,25866,88956
24,1.608,50556.342,25903,91512
