 ,Area,Mean,Min,Max
1,1.176,39747.393,31206,55555
2,2.242,61474.661,31178,108794
3,1.109,58436.716,31354,90894
4,1.025,43769.316,31173,62472
5,1.096,42464.939,31186,62719
6,1.419,54789.982,31188,85619
7,1.151,51291.427,31355,71181
8,1.650,59410.784,31680,89764
9,2.452,64609.267,31270,118801
10,1.348,61149.732,31270,104584
11,1.612,45953.677,31213,79255
12,1.583,53232.180,31239,104198
13,0.983,47485.658,31392,66013
14,0.873,42238.394,31176,60158
15,1.344,47382.975,31190,68786
16,2.675,67020.573,31333,140365
17,1.163,42544.617,31274,54582
18,2.393,76329.188,31467,154143
19,2.389,68692.533,31190,127577
20,1.709,60564.504,31291,96342
21,1.633,54230.887,31173,90733
22,1.209,45618.330,31183,64258
23,1.104,50539.981,31169,73294
24,1.285,58240.471,31174,100609
25,1.684,56009.708,31174,104928
