 ,Area,Mean,Min,Max
1,1.176,52422.450,29095,101661
2,1.713,44521.748,28963,67608
3,1.226,50710.455,28942,83367
4,2.662,54035.290,28973,81587
5,1.663,51859.048,28957,80562
6,2.087,58480.614,28948,113088
7,1.310,54091.285,29077,87439
8,1.440,45053.128,29091,69806
9,2.070,77853.002,29190,140864
10,1.533,44683.868,28980,63731
11,1.579,40283.165,28995,57070
12,2.645,54016.643,28960,88022
13,1.688,65708.826,28945,107231
14,1.390,48993.949,29008,68931
15,2.053,47346.184,28953,71193
16,1.772,43863.441,28997,68471
17,3.032,53539.629,28958,104002
18,2.511,43207.993,28961,81192
