 ,Area,Mean,Min,Max
1,1.138,17552.605,12871,37778
2,1.167,13931.633,10167,20842
3,1.898,13637.608,10079,23649
4,1.071,11725.718,9411,18405
5,1.012,13373.905,10662,17885
6,1.033,14667.016,10122,22815
7,2.158,28191.068,15762,63292
8,2.335,20752.070,13234,35176
9,1.684,21648.394,15660,34489
10,0.563,10552.209,8912,14695
11,0.991,12252.534,9418,21577
12,1.852,18133.181,12230,28772
13,0.571,15770.287,12435,21804
14,2.171,16164.325,10533,31275
15,0.693,12055.564,8690,15759
16,1.113,15910.283,11205,24427
17,1.226,11629.062,9492,18209
18,1.583,27924.867,16913,75749
19,2.335,12630.714,8631,24036
20,2.171,15229.810,10610,27660
21,2.608,13732.469,10058,25379
