 ,Area,Mean,Min,Max
1,1.814,57644.451,30686,95109
2,1.499,43581.613,30580,67420
3,1.310,55208.808,30552,87344
4,2.360,58171.480,30614,103525
5,1.285,57612.598,30484,107562
6,1.579,45027.452,30492,74752
7,1.020,46560.922,30513,74596
8,2.356,62145.062,30566,112035
9,1.377,42788.875,29609,68321
10,2.028,61085.901,30712,106430
11,1.428,45825.632,30495,65100
12,1.814,70306.905,30513,130098
13,1.218,56707.186,30543,84219
14,1.940,51104.180,30500,77973
15,2.393,63953.356,30498,115104
16,1.411,49278.732,30507,73787
17,1.184,50452.571,30496,83593
18,1.176,53025.750,30570,94198
19,1.226,52376.188,30682,82060
20,1.373,52979.330,30500,111391
21,1.151,45443.296,30690,66622
22,1.449,58874.145,30564,91996
23,1.088,62563.583,30629,102106
24,1.247,51747.367,30598,79177
25,1.738,51361.751,30485,92388
26,1.575,51220.011,30549,98787
