 ,Area,Mean,Min,Max
1,1.109,18980.648,9849,30960
2,1.256,20205.227,13018,52098
3,2.137,50184.992,27366,99415
4,1.965,37696.376,23809,68773
5,1.201,26439.066,16576,55390
6,2.662,27778.139,17276,62111
7,1.214,23141.329,15560,39115
8,2.368,17303.594,12761,26195
9,1.050,12730.004,9846,16382
10,0.953,24733.485,18319,32670
11,2.822,44602.426,28772,87530
12,0.899,15540.827,11633,30480
13,1.335,14336.824,10900,21394
14,1.323,21923.737,15634,37569
15,2.011,27166.804,16345,81326
16,0.941,18272.299,11066,26820
17,1.239,18854.169,13457,28615
18,1.440,26507.971,15138,51305
19,1.235,18834.031,12445,34781
20,1.134,21084.811,13715,41484
21,1.373,20605.639,15173,34058
22,1.222,37042.911,21819,77745
23,1.453,20230.971,15202,31602
24,1.827,20721.687,14522,35491
25,0.752,17234.939,11795,34550
26,2.112,20952.909,13282,45449
27,1.004,17685.318,13971,26203
28,1.730,21547.485,12633,41906
29,2.284,23216.300,15540,52704
30,0.584,27429.000,19523,56032
31,2.633,54463.482,31673,123031
32,1.201,24984.301,14264,38738
33,0.945,20952.564,13113,35140
34,2.645,31573.722,18834,58252
35,4.098,28317.524,14749,63844
36,2.519,25421.930,13750,71972
