 ,Area,Mean,Min,Max
1,1.436,45680.734,26387,72020
2,1.176,42186.496,26386,57108
3,0.991,35191.843,26334,44536
4,1.520,48146.713,26756,94466
5,1.188,41668.880,26351,58651
6,1.923,43128.627,26419,67805
7,1.881,41417.980,26347,62508
8,1.839,44046.541,26335,82265
9,2.347,60279.481,26426,106936
10,2.839,40054.540,19706,73586
11,1.705,45883.525,26365,74229
12,1.810,48457.803,26475,76456
13,1.272,40266.762,26544,61521
14,1.335,48376.808,26396,74353
15,2.171,48601.586,19217,91551
16,1.310,50047.048,26370,78178
17,1.457,43675.542,26347,67793
18,1.495,47886.753,26693,79328
19,1.453,43096.301,26329,58354
20,1.692,49231.092,26328,77481
21,1.180,39491.598,26350,56247
22,1.197,43124.982,26396,62470
23,1.407,47437.740,26327,73665
24,1.394,44091.572,26386,68577
