 ,Area,Mean,Min,Max
1,0.714,16775.012,12330,24857
2,0.668,16462.667,12679,25949
3,1.386,51678.379,22780,89028
4,2.255,56333.860,27846,110795
5,0.966,22278.274,14539,43588
6,1.142,24308.522,16999,49092
7,2.053,23113.221,16153,35090
8,1.172,25073.351,16121,41216
9,1.037,21634.619,15306,30262
10,1.100,26583.828,18061,58184
11,1.415,25973.469,15991,56849
12,1.423,44918.024,19167,85623
13,1.428,35845.759,19699,60442
14,1.323,38219.679,21082,58650
15,1.512,30574.097,19536,53806
16,1.348,31368.579,19763,52693
17,2.755,45869.130,21603,108398
18,2.385,34476.963,19307,93444
19,1.419,43535.101,25067,78974
20,1.239,24815.519,15692,38612
