 ,Area,Mean,Min,Max
1,2.435,95905.397,51103,166461
2,1.906,83885.421,51138,162391
3,1.953,99964.342,51262,155331
4,1.638,82817.867,51113,134348
5,1.856,85623.952,51323,123375
6,1.671,85520.085,51109,156439
7,1.751,89893.645,51201,152976
8,1.978,70925.130,51110,94644
9,2.314,85523.915,51492,143755
10,1.978,92583.563,51061,176727
11,3.666,108276.824,51087,225533
12,2.402,110922.479,51117,223438
13,2.927,88811.023,51110,151968
14,3.065,108952.619,51118,242994
15,0.508,70168.793,51085,110807
16,1.927,70849.767,51131,106090
17,1.906,90829.064,51113,147353
18,1.172,66429.405,51081,89717
19,1.629,92277.485,51144,189897
20,1.222,92232.794,51182,158200
21,1.079,75301.479,51158,102856
22,1.625,87304.008,51119,145566
23,1.768,85471.672,51766,144617
24,1.289,101593.384,51149,175304
25,1.537,91156.874,51222,131718
