 ,Area,Mean,Min,Max
1,0.991,59964.581,30777,99863
2,1.709,45557.575,30417,70108
3,1.663,43061.861,30482,64714
4,1.104,42278.658,30393,63340
5,0.760,53379.387,30431,99876
6,4.086,65572.215,30482,144169
7,1.096,51639.111,30733,79949
8,1.608,45266.326,30393,70929
9,2.435,60310.428,30417,86318
10,1.747,39093.012,30445,64603
11,2.620,60945.079,30436,107749
12,2.910,50490.232,30434,77791
13,0.668,45871.686,30865,77309
14,2.801,39604.027,30413,54117
15,1.407,51779.666,30386,75407
16,2.822,55067.841,30444,98009
17,0.697,46707.651,30389,80580
18,2.536,62668.671,30450,111175
19,3.716,59721.193,30367,130624
20,1.885,51528.080,30394,81147
21,1.776,51045.033,30391,81036
22,2.855,50762.981,30397,91350
23,0.600,43184.587,30403,73005
24,1.323,78710.352,30369,201619
25,0.739,120932.386,30987,274420
26,1.554,42357.143,30441,59687
