 ,Area,Mean,Min,Max
1,1.932,52811.861,30490,76729
2,1.755,52572.995,30566,83692
3,2.595,53358.570,30422,82208
4,1.591,46057.628,30543,82908
5,2.087,57150.565,30448,114656
6,1.251,43591.953,30467,55782
7,1.289,58743.638,30739,102255
8,1.352,46718.252,30444,64579
9,1.436,52558.661,30410,82428
10,2.129,72446.099,30423,152248
11,0.684,44645.975,30422,92732
12,1.478,46268.761,30434,72125
13,2.049,57209.613,30460,93497
14,2.041,60412.525,30800,98251
15,0.634,43863.695,30441,72798
16,1.339,38015.044,28238,60514
17,1.659,64030.334,30455,112200
18,1.062,42255.368,30455,56444
19,1.995,55147.352,30449,87856
20,1.352,48600.811,30428,73234
21,2.427,66399.311,29404,120576
22,1.218,45347.855,30516,63762
23,0.882,83846.781,30562,164809
24,0.752,42068.609,30469,54081
