 ,Area,Mean,Min,Max
1,1.528,8751.404,5554,17774
2,2.007,8451.308,6017,17051
3,1.167,8102.594,5212,12877
4,1.180,6846.053,4800,13798
5,1.549,16993.908,7712,45546
6,2.259,7742.152,5470,13552
7,1.629,7844.142,5616,13497
8,2.204,11105.731,5780,23114
9,1.163,15843.448,8500,32106
10,1.214,7800.187,4553,11811
11,1.667,13258.264,7611,27076
12,0.957,7499.623,5097,13762
13,1.461,7567.147,4661,12709
14,2.083,13499.339,7485,42090
15,1.172,8717.118,5778,17822
16,1.906,9021.366,5891,23661
17,0.949,6510.235,4831,10454
18,0.932,7028.419,5763,12307
19,2.133,7221.581,3670,86905
20,2.662,12016.339,9561,20950
21,1.352,10466.944,6085,16623
22,1.104,6782.582,4839,16600
23,1.780,13271.552,6165,34115
24,1.780,24304.389,13259,47765
25,1.251,10308.779,6286,17923
26,1.491,10502.769,6269,22528
27,1.146,8711.520,4897,17572
28,1.394,12748.786,6286,30394
29,1.457,7133.597,4535,12801
30,2.104,12392.788,7517,27202
31,1.344,6391.469,4705,12260
32,2.372,13513.747,7615,27792
33,2.091,9519.673,5884,26526
34,1.428,8181.497,4795,13451
35,2.179,10949.031,5871,28413
36,1.268,10955.228,5985,26259
37,1.407,10785.922,6169,25336
38,1.146,8071.736,4639,17972
39,1.243,10372.645,6436,17577
40,1.201,12446.570,6482,34742
41,2.137,9592.063,6289,19437
42,1.806,8756.981,5813,16876
43,1.793,14543.269,8412,33593
44,1.167,11333.169,5667,37602
45,1.734,10035.278,6641,27588
46,1.277,8352.651,5502,30624
47,1.507,10952.733,7123,23835
48,1.722,7497.412,4761,17078
49,2.133,27712.163,14383,136688
50,2.406,8245.958,5254,23725
51,1.184,9880.131,6627,23605
52,1.520,7844.541,5264,15951
53,2.431,14211.708,8670,41414
54,1.390,6876.369,5218,10077
55,1.188,8874.820,5815,16780
56,2.318,15585.909,5279,34130
57,1.415,9224.875,5428,37833
58,1.562,10758.860,6113,23630
59,1.260,9350.837,5616,20047
60,1.201,9061.350,6060,13750
61,2.209,18155.994,10110,30995
62,1.117,6784.041,4646,10548
63,2.209,9984.198,5347,43312
64,2.305,17679.217,7997,39036
65,1.318,9097.127,5598,18232
66,1.381,17914.590,8946,33301
67,1.587,7228.802,5253,9909
68,1.067,8888.839,5560,19700
69,1.176,6899.779,4862,10817
70,1.012,6310.581,4231,10641
71,1.747,8530.233,4939,20834
72,1.033,7741.902,4771,13368
73,1.151,7734.117,4630,16278
74,1.146,8881.011,5162,20557
75,2.213,8615.812,5453,21566
76,0.840,7817.210,5468,13561
77,3.275,7817.956,4718,19608
78,1.864,6479.777,4255,12152
79,1.743,12568.243,7118,32250
