,FITC-A,PE-Tx-Red-YG-A
0,306.599975586,39.2700004578
1,358.679992676,66.2999954224
2,241.919998169,49.469997406
3,609.83996582,-26.0100002289
4,101.63999939,155.039993286
5,115.919998169,389.639984131
6,12525.2392578,121.379997253
7,393.959991455,1665.15002441
8,152.039993286,795.599975586
9,308.279998779,403.410003662
10,297.359985352,209.61000061
11,210.839996338,502.349975586
12,1070.15991211,194.819992065
13,471.239990234,265.709991455
14,5798.52001953,294.269989014
15,238.559997559,854.25
16,8274.0,242.759994507
17,397.319976807,214.709991455
18,328.440002441,-19.3799991608
19,306.599975586,56.6100006104
20,85.6800003052,170.339996338
21,127.679992676,54.5699996948
22,5129.04003906,451.350006104
23,582.119995117,248.879989624
24,163.799987793,122.909996033
25,374.639984131,156.569992065
26,238.559997559,163.709991455
27,161.279998779,154.529998779
28,189.0,294.269989014
29,222.599990845,68.3399963379
30,1519.55993652,139.229995728
31,256.199981689,50.4899978638
32,11627.2792969,219.809997559
33,257.039978027,-27.5399990082
34,7955.63964844,351.389984131
35,5365.91992188,113.729995728
36,169.679992676,279.479980469
37,442.679992676,264.179992676
38,415.799987793,132.089996338
39,623.279968262,175.440002441
40,3848.03979492,271.320007324
41,130.199996948,95.8799972534
42,353.639984131,-44.8799972534
43,300.720001221,64.2600021362
44,44.5200004578,173.910003662
45,174.720001221,78.0299987793
46,310.799987793,226.949996948
47,139.440002441,431.459991455
48,525.83996582,307.019989014
49,519.959960938,159.629989624
50,387.239990234,67.8300018311
51,50573.0390625,492.660003662
52,234.359985352,93.3300018311
53,248.63999939,1005.7199707
54,215.039993286,247.349990845
55,183.119995117,105.569999695
56,786.239990234,215.729995728
57,20.1599998474,-36.7200012207
58,464.519989014,118.829994202
59,264.600006104,1084.26000977
60,3705.23999023,214.709991455
61,385.559997559,116.790000916
62,414.119995117,148.919998169
63,1994.15991211,1556.01000977
64,168.0,460.019989014
65,136.080001831,184.619995117
66,777.0,197.879989624
67,501.479980469,253.470001221
68,4041.23999023,27.0299987793
69,656.880004883,206.550003052
70,243.599990845,1074.56994629
71,1688.39990234,416.66998291
72,157.080001831,447.779998779
73,259.559997559,423.809997559
74,60829.4375,852.719970703
75,1307.88000488,475.829986572
76,28054.3183594,253.979995728
77,17853.359375,-6.11999988556
78,1506.95996094,102.0
79,8478.12011719,147.38999939
80,333.479980469,111.689994812
81,309.959991455,173.399993896
82,24024.8398438,30.5999984741
83,218.399993896,1305.59997559
84,131.879989624,513.570007324
85,283.91998291,-124.949996948
86,23.5199985504,-141.779998779
87,1725.35998535,306.509979248
88,254.519989014,83.6399993896
89,304.079986572,61.7099990845
90,30092.1582031,131.069992065
91,11423.1591797,310.079986572
92,168.839996338,49.469997406
93,246.959991455,-114.239997864
94,561.119995117,240.209991455
95,231.839996338,-20.9099998474
96,6372.23974609,270.809997559
97,6583.91992188,398.820007324
98,142.800003052,99.9599990845
99,317.519989014,216.239990234
100,246.959991455,-44.3699989319
101,201.599990845,29.0699996948
102,212.519989014,24.9899997711
103,8510.04003906,262.649993896
104,161.279998779,168.809997559
105,131.879989624,97.9199981689
106,67.1999969482,256.529998779
107,240.239990234,159.119995117
108,9.23999977112,271.829986572
109,2769.47998047,111.689994812
110,9936.359375,366.690002441
111,9120.71972656,310.079986572
112,255.359985352,664.019958496
113,7222.31982422,217.769989014
114,158.759994507,627.299987793
115,251.999984741,-28.5599994659
116,136.080001831,70.8899993896
117,3988.31982422,374.850006104
118,5996.75976562,346.799987793
119,188.159988403,239.699996948
120,310.799987793,174.929992676
121,96328.6796875,436.559997559
122,273.0,98.4300003052
123,130.199996948,123.419998169
124,166.319992065,43.8600006104
125,253.679992676,1770.7199707
126,249.479995728,-8.15999984741
127,538.440002441,447.269989014
128,654.359985352,322.320007324
129,152050.078125,630.359985352
130,209.159988403,803.25
131,220.079986572,1208.69995117
132,472.91998291,136.679992676
133,6384.83984375,352.410003662
134,166.319992065,870.570007324
135,29347.078125,391.16998291
136,3596.87988281,737.459960938
137,433.439971924,1194.41992188
138,185.63999939,52.0200004578
139,2142.0,172.88999939
140,424.199981689,257.549987793
141,745.91998291,273.869995117
142,527.519958496,169.319992065
143,2835.83984375,123.419998169
144,333.479980469,99.9599990845
145,71.4000015259,124.949996948
146,285.600006104,301.91998291
147,88905.59375,340.16998291
148,249.479995728,69.8699951172
149,1100.40002441,305.489990234
150,177.239990234,57.6299972534
151,51.2399978638,247.349990845
152,1231.43994141,96.9000015259
153,55746.5976562,469.709991455
154,2381.39990234,118.829994202
155,357.839996338,122.399993896
156,318.359985352,38.7599983215
157,1456.55993652,334.559997559
158,367.91998291,1985.42993164
159,483.839996338,329.970001221
160,120.959999084,121.88999939
161,204.119995117,855.269958496
162,2362.07983398,222.869995117
163,1103.76000977,320.790008545
164,241.079986572,153.509994507
165,23353.6796875,231.029998779
166,328.440002441,551.820007324
167,966.83996582,66.8099975586
168,577.91998291,53.0400009155
169,1344.0,5413.64990234
170,182.279998779,998.579956055
171,236.879989624,724.200012207
172,459.479980469,112.709999084
173,10035.4794922,257.040008545
174,603.959960938,593.130004883
175,287.279998779,142.800003052
176,2134.43994141,47.9399986267
177,170.519989014,328.949981689
178,182.279998779,664.529968262
179,404.879974365,93.8399963379
180,313.319976807,45.3899993896
181,410.759979248,53.0400009155
182,493.91998291,280.5
183,199.079986572,59.1599998474
184,397.319976807,245.819992065
185,262143.0,1629.44995117
186,12158.1591797,116.790000916
187,289.799987793,117.809997559
188,13498.7998047,317.729980469
189,1698.47998047,171.869995117
190,90.7199935913,81.0899963379
191,155.399993896,153.509994507
192,273.839996338,-15.2999992371
193,312.479980469,884.33996582
194,110.879997253,286.619995117
195,244.439987183,865.469970703
196,299.039978027,82.6199951172
197,2230.19995117,146.880004883
198,241.919998169,156.569992065
199,85.6800003052,3.05999994278
200,328.440002441,245.819992065
201,262.079986572,842.519958496
202,273.839996338,330.989990234
203,325.079986572,81.0899963379
204,161.279998779,1046.01000977
205,204.119995117,-57.6299972534
206,820.679992676,789.989990234
207,546.0,306.0
208,345.239990234,856.289978027
209,143.63999939,263.66998291
210,1286.03991699,696.659973145
211,190.679992676,232.559997559
212,283.079986572,100.979995728
213,435.119995117,146.880004883
214,302.399993896,418.709991455
215,15368.6396484,-40.2900009155
216,337.679992676,282.029998779
217,46861.9179688,933.299987793
218,283.079986572,343.229980469
219,400.679992676,1521.32995605
220,168.0,612.0
221,112.559997559,81.0899963379
222,2165.52001953,789.479980469
223,153835.921875,1355.57995605
224,328.440002441,1095.47998047
225,403.199981689,71.9099960327
226,6.71999979019,165.239990234
227,113835.117188,918.0
228,12329.5195312,379.440002441
229,167.159988403,69.8699951172
230,112.559997559,103.019996643
231,498.959991455,317.729980469
232,449.399993896,320.279998779
233,212.519989014,125.459999084
234,101992.796875,903.719970703
235,322.559997559,170.849990845
236,638.399963379,501.329986572
237,748.440002441,-2.54999995232
238,235.199996948,51.0
239,8967.0,150.449996948
240,414.119995117,257.549987793
241,187.319992065,241.739990234
242,1900.07995605,84.1500015259
243,400.679992676,270.809997559
244,807.239990234,194.819992065
245,193.199996948,67.3199996948
246,357.839996338,69.8699951172
247,1881.59997559,232.559997559
248,1314.59997559,456.449981689
249,229.319992065,-21.4200000763
250,386.399993896,200.429992676
251,183.119995117,1024.07995605
252,73334.515625,677.279968262
253,952.559997559,361.079986572
254,3911.03979492,118.319999695
255,334.319976807,275.910003662
256,208.319992065,262.649993896
257,329.279998779,218.279998779
258,231.839996338,29.5799999237
259,267.119995117,-116.790000916
260,917.279968262,3783.17993164
261,483.839996338,255.0
262,6.71999979019,97.4099960327
263,223504.671875,1636.07995605
264,185.63999939,314.66998291
265,141.119995117,344.759979248
266,668.639953613,29.0699996948
267,1987.43994141,143.819992065
268,546.0,461.549987793
269,30055.1992188,80.0699996948
270,777.0,3391.5
271,696.359985352,27.5399990082
272,158.759994507,718.58996582
273,477.119995117,457.470001221
274,36.9599990845,-10.7100000381
275,510.719970703,231.029998779
276,54.5999984741,188.699996948
277,1160.03991699,96.9000015259
278,391.440002441,312.630004883
279,14432.0390625,276.929992676
280,1116.35998535,307.019989014
281,196.559997559,813.450012207
282,350.279998779,137.699996948
283,191.519989014,355.979980469
284,368.759979248,276.929992676
285,441.0,1404.0300293
286,108484.320312,1005.20996094
287,7762.43994141,117.809997559
288,114.239997864,78.5400009155
289,391.440002441,202.979995728
290,435.119995117,78.5400009155
291,355.319976807,184.11000061
292,201.599990845,250.409988403
293,204.959991455,-17.3400001526
294,1748.88000488,289.679992676
295,28938.0,750.209960938
296,247.799987793,1176.56994629
297,454.439971924,532.950012207
298,16446.359375,648.719970703
299,254454.46875,1821.20996094
300,199.919998169,649.229980469
301,197.399993896,17.8500003815
302,44527.5585938,206.039993286
303,22743.0,174.419998169
304,2053.80004883,340.16998291
305,334.319976807,1538.15991211
306,2059.67993164,297.329986572
307,214.199996948,-16.3199996948
308,322.559997559,215.220001221
309,5325.59960938,8.67000007629
310,230.159988403,1083.75
311,116.759994507,84.6599960327
312,2588.87988281,242.25
313,328.440002441,605.369995117
314,665.279968262,177.989990234
315,341.879974365,416.66998291
316,89515.4375,636.479980469
317,3725.39990234,123.419998169
318,355.319976807,270.299987793
319,152.879989624,1033.77001953
320,168.839996338,637.5
321,172.199996948,3.05999994278
322,2676.23999023,57.6299972534
323,41.1599998474,10.7100000381
324,418.319976807,155.039993286
325,220.919998169,700.229980469
326,16378.3193359,69.8699951172
327,5358.35986328,218.789993286
328,119.279998779,506.940002441
329,8.39999961853,161.669998169
330,162.959991455,144.330001831
331,167.159988403,677.789978027
332,567.83996582,160.649993896
333,402.359985352,326.910003662
334,94.0799942017,501.839996338
335,288.959991455,200.429992676
336,177.239990234,116.790000916
337,183.119995117,95.8799972534
338,327.599975586,196.349990845
339,185.63999939,181.050003052
340,318.359985352,421.769989014
341,241.079986572,1189.31994629
342,199.919998169,167.789993286
343,21154.5585938,431.970001221
344,239.399993896,118.829994202
345,25391.5195312,336.089996338
346,52516.796875,387.089996338
347,2361.23999023,99.9599990845
348,72321.4765625,908.309997559
349,210.0,963.389953613
350,434.279998779,502.349975586
351,221.759994507,329.459991455
352,318.359985352,214.199996948
353,4104.23974609,212.669998169
354,3249.95996094,286.619995117
355,5758.19970703,379.949981689
356,4742.63964844,195.330001831
357,448.559997559,31.109998703
358,257.039978027,91.2900009155
359,43441.4375,461.549987793
