,FITC-A,PE-Tx-Red-YG-A
0,231.839996338,635.969970703
1,382.199981689,29.0699996948
2,314.160003662,563.039978027
3,307.440002441,15.8099994659
4,472.91998291,234.089996338
5,2439.35986328,59.1599998474
6,285.600006104,-90.2699966431
7,14192.6396484,72.4199981689
8,6071.52001953,176.459991455
9,204.119995117,250.919998169
10,94.9199981689,389.130004883
11,16.7999992371,-50.4899978638
12,89.8799972534,103.529998779
13,157.080001831,576.299987793
14,136.080001831,344.759979248
15,1684.19995117,-36.7200012207
16,563.639953613,2658.11987305
17,145.319992065,68.3399963379
18,1087.79992676,247.86000061
19,571.200012207,69.3600006104
20,2035.31994629,104.549995422
21,420.0,66.8099975586
22,96.5999984741,503.880004883
23,255894.234375,3108.44995117
24,2568.7199707,166.259994507
25,293.160003662,104.040000916
26,273.0,449.309997559
27,2564.52001953,118.829994202
28,456.119995117,355.979980469
29,715.679992676,110.159996033
30,566.159973145,116.790000916
31,409.91998291,112.199996948
32,170.519989014,-74.9700012207
33,362.879974365,395.25
34,276.359985352,182.069992065
35,177.239990234,218.279998779
36,357.839996338,352.410003662
37,260.399993896,2.54999995232
38,273.839996338,75.4799957275
39,26958.9589844,242.25
40,5019.83984375,219.809997559
41,214.199996948,363.119995117
42,444.359985352,16.8299999237
43,128.519989014,51.0
44,3517.91992188,184.619995117
45,7257.59960938,230.009994507
46,9166.91992188,278.459991455
47,1121.40002441,129.029998779
48,52324.4375,567.119995117
49,141.959991455,115.259994507
50,157.919998169,963.389953613
51,148.679992676,136.679992676
52,434.279998779,426.869995117
53,7502.87988281,479.910003662
54,261.239990234,685.950012207
55,1666.55993652,73.4400024414
56,251.999984741,266.729980469
57,1722.0,30.5999984741
58,426.720001221,30.5999984741
59,217.559997559,538.559997559
60,225.119995117,237.149993896
61,546.83996582,190.229995728
62,336.0,780.809997559
63,1779.95996094,187.679992676
64,320.880004883,172.379989624
65,577.079956055,419.729980469
66,295.679992676,238.169998169
67,164.63999939,620.66998291
68,259.559997559,1383.63000488
69,3753.95996094,202.470001221
70,303.239990234,372.809997559
71,177.239990234,1174.5300293
72,632.519958496,-46.9199981689
73,383.879974365,203.489990234
74,52.9199981689,348.329986572
75,266.279998779,626.279968262
76,300.720001221,183.089996338
77,215.039993286,146.880004883
78,299.039978027,194.309997559
79,5955.59960938,-46.4099998474
80,78.1199951172,226.440002441
81,177.239990234,1093.43994141
82,25048.7988281,471.75
83,26668.3183594,789.989990234
84,1770.7199707,200.940002441
85,191.519989014,-26.5200004578
86,416.639984131,57.1199989319
87,754.319946289,105.569999695
88,190.679992676,173.910003662
89,527.519958496,223.88999939
90,177.239990234,-4.59000015259
91,356.160003662,44.3699989319
92,332.639984131,143.819992065
93,20397.71875,204.509994507
94,920.639953613,215.220001221
95,517.440002441,413.100006104
96,319.199981689,1753.89001465
97,282.239990234,324.869995117
98,1451.51989746,430.949981689
99,239.399993896,345.779998779
100,1506.95996094,78.5400009155
101,8312.63964844,48.4500007629
102,121.799995422,231.029998779
103,173.879989624,130.559997559
104,71.4000015259,23.4599990845
105,440.159973145,131.069992065
106,3152.52001953,171.36000061
107,96.5999984741,176.459991455
108,409.079986572,113.729995728
109,85.6800003052,253.470001221
110,13040.1591797,212.160003662
111,340.199981689,125.459999084
112,209.159988403,148.919998169
113,241.919998169,260.100006104
114,462.0,215.729995728
115,138.599990845,393.209991455
116,185.63999939,875.66998291
117,250.319992065,12.2399997711
118,444.359985352,212.160003662
119,265.440002441,132.089996338
120,-6.71999979019,49.9799995422
121,270.479980469,214.709991455
122,223.439987183,101.489997864
123,254.519989014,1237.77001953
124,218.399993896,253.979995728
125,540.959960938,33.1499977112
126,7434.0,747.659973145
127,4893.83984375,455.429992676
128,1776.59997559,432.989990234
